Date,High_Price
2016-01-01,1020.0
2016-01-02,1010.675
2016-01-03,1010.675
2016-01-04,1014.2
2016-01-05,1010.0
2016-01-06,1038.0
2016-01-07,1027.6
2016-01-08,1032.15
2016-01-09,1017.525
2016-01-10,1017.525
2016-01-11,1059.95
2016-01-12,1065.0
2016-01-13,1087.4
2016-01-14,1081.0
2016-01-15,1089.5
2016-01-16,1073.1
2016-01-17,1073.1
2016-01-18,1082.45
2016-01-19,1049.0
2016-01-20,1040.5
2016-01-21,1025.7
2016-01-22,1010.15
2016-01-23,1006.075
2016-01-24,1006.075
2016-01-25,1018.4
2016-01-26,1006.375
2016-01-27,1009.7
2016-01-28,1021.75
2016-01-29,1039.4
2016-01-30,1037.525
2016-01-31,1037.525
2016-02-01,1041.0
2016-02-02,1032.0
2016-02-03,993.2
2016-02-04,1000.0
2016-02-05,982.0
2016-02-06,972.0999999999999
2016-02-07,972.0999999999999
2016-02-08,984.25
2016-02-09,968.5
2016-02-10,972.9
2016-02-11,966.0
2016-02-12,933.0
2016-02-13,913.65
2016-02-14,913.65
2016-02-15,949.95
2016-02-16,958.0
2016-02-17,956.0
2016-02-18,967.75
2016-02-19,952.45
2016-02-20,945.2249999999999
2016-02-21,945.2249999999999
2016-02-22,967.9
2016-02-23,966.9
2016-02-24,959.0
2016-02-25,957.0
2016-02-26,958.5
2016-02-27,950.8
2016-02-28,950.8
2016-02-29,993.0
2016-03-01,985.0
2016-03-02,1005.25
2016-03-03,1017.25
2016-03-04,1018.0
2016-03-05,1006.25
2016-03-06,1006.25
2016-03-07,1006.25
2016-03-08,1031.0
2016-03-09,1044.0
2016-03-10,1045.0
2016-03-11,1029.5
2016-03-12,1016.9
2016-03-13,1016.9
2016-03-14,1026.0
2016-03-15,1026.95
2016-03-16,1025.7
2016-03-17,1036.4
2016-03-18,1028.4
2016-03-19,1026.2
2016-03-20,1026.2
2016-03-21,1039.0
2016-03-22,1052.5
2016-03-23,1047.0
2016-03-24,1029.175
2016-03-25,1029.175
2016-03-26,1029.175
2016-03-27,1029.175
2016-03-28,1031.95
2016-03-29,1040.9
2016-03-30,1050.9
2016-03-31,1055.95
2016-04-01,1045.9
2016-04-02,1034.9
2016-04-03,1034.9
2016-04-04,1042.45
2016-04-05,1042.0
2016-04-06,1035.9
2016-04-07,1048.0
2016-04-08,1054.0
2016-04-09,1036.525
2016-04-10,1036.525
2016-04-11,1045.0
2016-04-12,1057.0
2016-04-13,1068.3
2016-04-14,1065.45
2016-04-15,1065.45
2016-04-16,1065.45
2016-04-17,1065.45
2016-04-18,1065.7
2016-04-19,1064.975
2016-04-20,1070.0
2016-04-21,1051.5
2016-04-22,1047.75
2016-04-23,1040.725
2016-04-24,1040.725
2016-04-25,1044.9
2016-04-26,1023.85
2016-04-27,1025.85
2016-04-28,1019.7
2016-04-29,998.75
2016-04-30,981.9749999999999
2016-05-01,981.9749999999999
2016-05-02,992.5
2016-05-03,994.7
2016-05-04,983.65
2016-05-05,983.5
2016-05-06,976.95
2016-05-07,972.075
2016-05-08,972.075
2016-05-09,986.0
2016-05-10,984.85
2016-05-11,980.45
2016-05-12,992.45
2016-05-13,990.9
2016-05-14,978.125
2016-05-15,978.125
2016-05-16,982.05
2016-05-17,983.3
2016-05-18,972.75
2016-05-19,971.7
2016-05-20,954.6
2016-05-21,936.25
2016-05-22,936.25
2016-05-23,940.0
2016-05-24,943.35
2016-05-25,951.9
2016-05-26,953.0
2016-05-27,975.7
2016-05-28,973.825
2016-05-29,973.825
2016-05-30,981.45
2016-05-31,972.5
2016-06-01,966.5
2016-06-02,957.25
2016-06-03,963.6
2016-06-04,958.475
2016-06-05,958.475
2016-06-06,962.75
2016-06-07,961.1
2016-06-08,958.0
2016-06-09,977.0
2016-06-10,984.2
2016-06-11,972.825
2016-06-12,972.825
2016-06-13,983.3
2016-06-14,984.5
2016-06-15,984.9
2016-06-16,983.5
2016-06-17,978.9
2016-06-18,969.125
2016-06-19,969.125
2016-06-20,993.0
2016-06-21,995.0
2016-06-22,986.95
2016-06-23,983.45
2016-06-24,966.0
2016-06-25,950.675
2016-06-26,950.675
2016-06-27,958.8
2016-06-28,961.55
2016-06-29,968.8
2016-06-30,977.75
2016-07-01,976.45
2016-07-02,975.825
2016-07-03,975.825
2016-07-04,992.35
2016-07-05,1002.8
2016-07-06,993.2
2016-07-07,1000.0
2016-07-08,989.0
2016-07-09,984.075
2016-07-10,984.075
2016-07-11,994.9
2016-07-12,1004.05
2016-07-13,1015.8
2016-07-14,1014.6
2016-07-15,1020.65
2016-07-16,1019.775
2016-07-17,1019.775
2016-07-18,1039.0
2016-07-19,1021.8
2016-07-20,1028.1
2016-07-21,1024.55
2016-07-22,1017.25
2016-07-23,1015.4
2016-07-24,1015.4
2016-07-25,1021.8
2016-07-26,1034.15
2016-07-27,1026.9
2016-07-28,1029.8
2016-07-29,1025.8
2016-07-30,1016.025
2016-07-31,1016.025
2016-08-01,1020.85
2016-08-02,1018.5
2016-08-03,1013.05
2016-08-04,1002.0
2016-08-05,1017.5
2016-08-06,1015.8499999999999
2016-08-07,1015.8499999999999
2016-08-08,1033.5
2016-08-09,1033.4
2016-08-10,1034.5
2016-08-11,1022.0
2016-08-12,1041.75
2016-08-13,1034.975
2016-08-14,1034.975
2016-08-15,1034.975
2016-08-16,1044.0
2016-08-17,1028.8
2016-08-18,1023.15
2016-08-19,1021.7
2016-08-20,1016.375
2016-08-21,1016.375
2016-08-22,1020.35
2016-08-23,1014.8
2016-08-24,1022.1
2016-08-25,1028.5
2016-08-26,1030.0
2016-08-27,1027.7
2016-08-28,1027.7
2016-08-29,1059.95
2016-08-30,1070.0
2016-08-31,1073.55
2016-09-01,1072.55
2016-09-02,1035.0
2016-09-03,1016.425
2016-09-04,1016.425
2016-09-05,1016.425
2016-09-06,1024.95
2016-09-07,1026.75
2016-09-08,1035.5
2016-09-09,1049.65
2016-09-10,1038.85
2016-09-11,1038.85
2016-09-12,1055.65
2016-09-13,1046.3
2016-09-14,1058.0
2016-09-15,1068.0
2016-09-16,1093.25
2016-09-17,1075.275
2016-09-18,1075.275
2016-09-19,1087.5
2016-09-20,1086.0
2016-09-21,1084.5
2016-09-22,1095.5
2016-09-23,1109.2
2016-09-24,1102.725
2016-09-25,1102.725
2016-09-26,1128.9
2016-09-27,1125.7
2016-09-28,1113.0
2016-09-29,1110.0
2016-09-30,1093.45
2016-10-01,1083.3
2016-10-02,1083.3
2016-10-03,1107.35
2016-10-04,1108.0
2016-10-05,1105.8
2016-10-06,1124.8
2016-10-07,1122.65
2016-10-08,1112.475
2016-10-09,1112.475
2016-10-10,1122.0
2016-10-11,1094.825
2016-10-12,1094.825
2016-10-13,1093.7
2016-10-14,1081.95
2016-10-15,1078.6
2016-10-16,1078.6
2016-10-17,1080.65
2016-10-18,1082.0
2016-10-19,1094.5
2016-10-20,1097.8
2016-10-21,1099.0
2016-10-22,1066.2
2016-10-23,1066.2
2016-10-24,1074.0
2016-10-25,1065.4
2016-10-26,1059.2
2016-10-27,1054.0
2016-10-28,1056.0
2016-10-29,1055.25
2016-10-30,1065.0
2016-10-31,1051.1
2016-11-01,1055.0
2016-11-02,1042.05
2016-11-03,1034.5
2016-11-04,1027.15
2016-11-05,1008.575
2016-11-06,1008.575
2016-11-07,1016.5
2016-11-08,1009.0
2016-11-09,1008.9
2016-11-10,1028.4
2016-11-11,1017.3
2016-11-12,1001.5999999999999
2016-11-13,1001.5999999999999
2016-11-14,1001.5999999999999
2016-11-15,1001.8
2016-11-16,996.7
2016-11-17,998.0
2016-11-18,992.15
2016-11-19,987.75
2016-11-20,987.75
2016-11-21,993.7
2016-11-22,1007.5
2016-11-23,1008.5
2016-11-24,1006.9
2016-11-25,996.0
2016-11-26,994.2249999999999
2016-11-27,994.2249999999999
2016-11-28,1000.05
2016-11-29,1002.7
2016-11-30,997.6
2016-12-01,1014.6
2016-12-02,1005.6
2016-12-03,994.65
2016-12-04,994.65
2016-12-05,998.75
2016-12-06,1004.9
2016-12-07,1007.0
2016-12-08,1021.0
2016-12-09,1029.6
2016-12-10,1026.625
2016-12-11,1026.625
2016-12-12,1040.0
2016-12-13,1042.0
2016-12-14,1064.4
2016-12-15,1066.8
2016-12-16,1062.0
2016-12-17,1057.775
2016-12-18,1057.775
2016-12-19,1065.8
2016-12-20,1062.0
2016-12-21,1066.35
2016-12-22,1061.55
2016-12-23,1068.45
2016-12-24,1056.875
2016-12-25,1056.875
2016-12-26,1066.0
2016-12-27,1066.7
2016-12-28,1069.9
2016-12-29,1068.6
2016-12-30,1084.7
2016-12-31,1080.725
2017-01-01,1080.725
2017-01-02,1089.45
2017-01-03,1097.0
2017-01-04,1092.45
2017-01-05,1079.5
2017-01-06,1085.0
2017-01-07,1075.85
2017-01-08,1075.85
2017-01-09,1085.7
2017-01-10,1092.0
2017-01-11,1095.0
2017-01-12,1090.0
2017-01-13,1096.6
2017-01-14,1090.775
2017-01-15,1090.775
2017-01-16,1093.85
2017-01-17,1074.7
2017-01-18,1048.15
2017-01-19,1044.65
2017-01-20,1037.7
2017-01-21,1024.85
2017-01-22,1024.85
2017-01-23,1031.0
2017-01-24,1030.0
2017-01-25,1035.0
2017-01-26,1018.2
2017-01-27,1028.95
2017-01-28,1025.15
2017-01-29,1025.15
2017-01-30,1045.8
2017-01-31,1053.9
2017-02-01,1050.85
2017-02-02,1050.0
2017-02-03,1050.1
2017-02-04,1034.875
2017-02-05,1034.875
2017-02-06,1043.9
2017-02-07,1040.75
2017-02-08,1038.45
2017-02-09,1034.45
2017-02-10,1035.9
2017-02-11,1032.15
2017-02-12,1032.15
2017-02-13,1035.0
2017-02-14,1052.5
2017-02-15,1057.5
2017-02-16,1067.0
2017-02-17,1077.9
2017-02-18,1072.675
2017-02-19,1072.675
2017-02-20,1077.0
2017-02-21,1090.55
2017-02-22,1212.0
2017-02-23,1222.3
2017-02-24,1184.8
2017-02-25,1184.8
2017-02-26,1184.8
2017-02-27,1256.5
2017-02-28,1247.85
2017-03-01,1244.9
2017-03-02,1254.0
2017-03-03,1287.8
2017-03-04,1263.225
2017-03-05,1263.225
2017-03-06,1309.9
2017-03-07,1326.75
2017-03-08,1310.0
2017-03-09,1298.0
2017-03-10,1296.5
2017-03-11,1298.6750000000002
2017-03-12,1298.6750000000002
2017-03-13,1298.6750000000002
2017-03-14,1319.1
2017-03-15,1316.0
2017-03-16,1311.0
2017-03-17,1319.85
2017-03-18,1300.825
2017-03-19,1300.825
2017-03-20,1305.0
2017-03-21,1285.6
2017-03-22,1266.0
2017-03-23,1277.75
2017-03-24,1291.65
2017-03-25,1276.875
2017-03-26,1276.875
2017-03-27,1278.5
2017-03-28,1263.35
2017-03-29,1260.0
