Date,Low_Price
2016-01-01,1008.75
2016-01-02,1010.675
2016-01-03,1010.675
2016-01-04,987.3
2016-01-05,996.85
2016-01-06,1000.55
2016-01-07,1008.25
2016-01-08,1000.05
2016-01-09,1017.525
2016-01-10,1017.525
2016-01-11,1011.0
2016-01-12,1041.05
2016-01-13,1019.35
2016-01-14,1052.4
2016-01-15,1066.0
2016-01-16,1073.1
2016-01-17,1073.1
2016-01-18,1010.1
2016-01-19,1015.2
2016-01-20,990.5
2016-01-21,978.15
2016-01-22,994.75
2016-01-23,1006.075
2016-01-24,1006.075
2016-01-25,1000.15
2016-01-26,1006.375
2016-01-27,996.15
2016-01-28,997.75
2016-01-29,1018.85
2016-01-30,1037.525
2016-01-31,1037.525
2016-02-01,1025.15
2016-02-02,990.3
2016-02-03,975.0
2016-02-04,968.0
2016-02-05,963.0
2016-02-06,972.0999999999999
2016-02-07,972.0999999999999
2016-02-08,957.7
2016-02-09,950.35
2016-02-10,948.95
2016-02-11,916.25
2016-02-12,888.5
2016-02-13,913.65
2016-02-14,913.65
2016-02-15,920.0
2016-02-16,927.0
2016-02-17,917.1
2016-02-18,936.3
2016-02-19,937.8
2016-02-20,945.2249999999999
2016-02-21,945.2249999999999
2016-02-22,945.05
2016-02-23,943.05
2016-02-24,942.55
2016-02-25,941.7
2016-02-26,944.95
2016-02-27,950.8
2016-02-28,950.8
2016-02-29,936.3
2016-03-01,965.0
2016-03-02,987.5
2016-03-03,997.55
2016-03-04,1003.75
2016-03-05,1006.25
2016-03-06,1006.25
2016-03-07,1006.25
2016-03-08,1006.0
2016-03-09,1017.35
2016-03-10,1009.0
2016-03-11,1011.3
2016-03-12,1016.9
2016-03-13,1016.9
2016-03-14,1013.0
2016-03-15,1016.0
2016-03-16,1005.4
2016-03-17,1012.4
2016-03-18,1016.25
2016-03-19,1026.2
2016-03-20,1026.2
2016-03-21,1023.5
2016-03-22,1036.75
2016-03-23,1023.0
2016-03-24,1029.175
2016-03-25,1029.175
2016-03-26,1029.175
2016-03-27,1029.175
2016-03-28,1015.5
2016-03-29,1022.4
2016-03-30,1040.25
2016-03-31,1034.1
2016-04-01,1026.4
2016-04-02,1034.9
2016-04-03,1034.9
2016-04-04,1024.45
2016-04-05,1022.65
2016-04-06,1022.2
2016-04-07,1023.25
2016-04-08,1032.05
2016-04-09,1036.525
2016-04-10,1036.525
2016-04-11,1033.3
2016-04-12,1038.6
2016-04-13,1052.0
2016-04-14,1065.45
2016-04-15,1065.45
2016-04-16,1065.45
2016-04-17,1065.45
2016-04-18,1055.0
2016-04-19,1064.975
2016-04-20,1035.35
2016-04-21,1035.0
2016-04-22,1030.5
2016-04-23,1040.725
2016-04-24,1040.725
2016-04-25,1012.75
